City Name,Country,Region,CBD Latitude,CBD Longitude,Land CoverT1,Land Cover T2,Land Cover T3,Population T1,Population T2,Population T3,Population Annual Change T2-T3,Area T1 (ha),Area T2 (ha),Area T3 (ha),Area Annual Change T2-T3,Longitude,Latitude
Accra,Ghana,Sub-Saharan Africa,5.615,-0.159,1/1/1991,2/1/2000,3/1/2014,"1,307,784","2,513,026","4,429,649",4.00%,"10,022","32,171","61,781",4.60%,5.5571096,-0.2012376
Addis Ababa,Ethiopia,Sub-Saharan Africa,9.001,38.756,1/1/1986,12/1/2000,12/1/2010,"1,445,701","2,276,356","3,009,130",2.80%,"7,531","11,713","21,133",5.90%,9.0358287,38.7524127
Ahmedabad,India,South and Central Asia,23.037,72.589,12/1/1989,10/1/2000,10/1/2013,"3,737,723","4,718,391","6,232,952",2.10%,"12,174","15,916","21,103",2.20%,23.0216238,72.5797068
Ahvaz,Iran,South and Central Asia,31.32,48.665,11/1/1991,9/1/2000,9/1/2013,"698,310","853,527","1,178,560",2.50%,"7,079","9,200","12,873",2.60%,31.3230637,48.67932
Alexandria,Egypt,Western Asia and North Africa,31.152,29.884,10/1/1987,4/1/1999,7/1/2013,"2,558,891","3,132,780","4,345,193",2.30%,"7,818","15,514","22,782",2.70%,44.83495335,8.745030418605868
Algiers,Algeria,Western Asia and North Africa,36.732,3.14,8/1/1987,6/1/2000,7/1/2014,"1,535,735","2,184,791","3,085,561",2.50%,"7,446","15,639","27,798",4.10%,36.7753606,3.0601882
"Anqing, Anhui",China,East Asia and the Pacific,30.536,117.05,9/1/1990,4/1/2000,10/1/2013,"402,524","350,035","642,626",4.50%,"2,274","2,788","8,779",8.50%,30.6592336,116.6302585
Antwerp,Belgium,Europe and Japan,51.22,4.403,7/1/1990,8/1/2000,9/1/2013,"885,820","1,107,990","1,277,376",1.10%,"21,677","35,705","43,115",1.40%,51.2211097,4.3997081
Arusha,Tanzania,Sub-Saharan Africa,36.695,-3.37,10/1/1988,9/1/2000,10/1/2013,"84,150","181,168","377,169",5.60%,178,694,"1,563",6.20%,-3.3696827,36.6880794
Astrakhan,Russia,Europe and Japan,46.34,48.02,7/1/1988,9/1/2003,3/1/2014,"475,766","532,541","567,629",0.60%,"5,623","13,289","14,857",1.10%,46.3498308,48.0326203
Auckland,New Zealand,Land-Rich Developed Countries,-36.915,174.786,6/1/1989,9/1/2001,4/1/2014,"838,074","1,031,718","1,300,733",1.80%,"27,643","29,918","34,602",1.20%,-36.852095,174.7631803
Bacolod,Philippines,Southeast Asia,10.664,122.961,12/1/1992,9/1/2000,3/1/2015,"269,117","378,445","443,456",1.10%,888,"2,788","3,297",1.20%,10.6762836,122.9513786
Baghdad,Iraq,Western Asia and North Africa,33.32,44.379,8/1/1990,8/1/2000,8/1/2013,"2,837,103","3,985,382","5,279,193",2.20%,"34,867","43,502","56,288",2.00%,33.3061701,44.3872213
Baku,Azerbaijan,Western Asia and North Africa,40.4,49.881,7/1/1989,1/1/2000,8/1/2014,"1,318,615","1,383,761","1,671,787",1.30%,"9,358","13,691","18,670",2.10%,40.163999149999995,50.27770925520258
Bamako,Mali,Sub-Saharan Africa,12.65,-8.0,1/1/1990,10/1/2000,11/1/2013,"352,486","1,113,715","2,358,106",5.70%,"2,648","8,975","17,644",5.20%,12.61326555,-7.984739136241295
Bangkok,Thailand,Southeast Asia,13.778,100.538,3/1/1988,1/1/2002,1/1/2015,"6,048,386","9,223,566","14,011,131",3.20%,"50,746","90,085","172,912",5.00%,13.8245796,100.6224463
"Beijing, Beijing",China,East Asia and the Pacific,39.92,116.37,12/1/1988,7/1/1999,10/1/2013,"6,037,392","9,869,844","20,669,397",5.20%,"66,759","114,226","265,434",5.90%,39.9057136,116.3912972
Beira,Mozambique,Sub-Saharan Africa,-19.831,34.86,3/1/1991,5/1/2001,7/1/2013,"131,884","143,908","382,575",8.00%,"1,038","1,596","6,208",11.20%,-19.828707,34.841782
Belgaum,India,South and Central Asia,15.85,74.506,11/1/1989,11/1/2000,4/1/2014,"229,412","358,119","636,865",4.30%,335,762,"2,779",9.60%,15.8572666,74.5069343
Belgrade,Serbia,Europe and Japan,44.798,20.447,8/1/1988,7/1/2000,3/1/2014,"801,013","876,835","963,946",0.70%,"8,620","10,198","12,565",1.50%,44.8178131,20.4568974
Belo Horizonte,Brazil,Latin America and the Caribbean,-19.904,-44.005,6/1/1989,6/1/2000,5/1/2013,"2,709,529","3,479,598","4,038,047",1.20%,"33,855","43,054","48,701",1.00%,-19.9227318,-43.9450948
Berezniki,Russia,Europe and Japan,59.415,56.795,7/1/1989,5/1/2000,7/1/2010,"137,284","127,504","112,760",-1.20%,"2,884","3,912","4,276",0.90%,59.4084171,56.8036958
Berlin,Germany,Europe and Japan,52.502,13.453,8/1/1990,8/1/2000,12/1/2013,"3,248,604","3,510,570","3,860,243",0.70%,"24,707","44,413","68,743",3.30%,52.5170365,13.3888599
"Bicheng, Chongqing",China,East Asia and the Pacific,29.595,106.231,9/1/1988,7/1/2000,6/1/2013,"84,136","119,872","238,159",5.30%,157,510,"5,019",17.70%,29.5949,106.224
Bogota,Colombia,Latin America and the Caribbean,4.644,-74.129,12/1/1989,1/1/2001,1/1/2010,"4,438,705","6,362,428","7,801,693",2.30%,"24,582","28,501","31,895",1.30%,4.6529539,-74.0835643
Budapest,Hungary,Europe and Japan,47.484,19.09,7/1/1992,6/1/2002,7/1/2013,"2,041,591","1,885,418","2,272,785",1.70%,"27,061","28,413","52,029",5.50%,47.4978789,19.0402383
Buenos Aires,Argentina,Latin America and the Caribbean,-34.652,-58.547,5/1/1989,12/1/2001,3/1/2014,"10,568,200","11,494,967","13,879,006",1.50%,"99,014","115,643","147,306",2.00%,-34.6037181,-58.38153
Bukhara,Uzbekistan,South and Central Asia,39.763,64.465,4/1/1991,7/1/2000,8/1/2013,"42,305","138,578","369,044",7.50%,724,"4,161","14,153",9.40%,39.7675529,64.4231326
Busan,Korea Rep.,East Asia and the Pacific,35.167,129.036,2/1/1991,10/1/2000,9/1/2013,"3,731,022","3,837,305","3,974,065",0.30%,"13,690","20,898","32,657",3.50%,35.1799528,129.0752365
Cabimas,Venezuela,Latin America and the Caribbean,10.284,-71.37,12/1/1989,1/1/2000,1/1/2014,"238,324","384,017","460,894",1.30%,"5,896","7,912","9,488",1.30%,10.395075,-71.4414049
Cairo,Egypt,Western Asia and North Africa,30.034,31.282,8/1/1992,4/1/2003,5/1/2013,"9,621,785","11,928,479","15,734,934",2.70%,"29,717","45,508","93,093",7.10%,30.0443879,31.2357257
Caracas,Venezuela,Latin America and the Caribbean,10.479,-66.897,5/1/1991,3/1/2001,1/1/2014,"2,549,725","2,868,565","3,104,392",0.60%,"12,789","14,885","16,352",0.70%,10.5060934,-66.9146008
Cebu City,Philippines,Southeast Asia,10.322,123.907,8/1/1993,8/1/2000,2/1/2014,"942,998","1,338,323","2,391,839",4.30%,"4,649","6,686","12,462",4.60%,10.2931062,123.9020773
"Sangzhi, Hunan",China,East Asia and the Pacific,36.192,113.116,10/1/1992,10/1/2000,6/1/2014,"286,761","346,288","822,355",6.30%,"2,921","4,516","11,526",6.90%,29.574001,110.172485
"Changzhou, Jiangsu",China,East Asia and the Pacific,31.775,119.97,10/1/1989,3/1/2000,3/1/2014,"1,001,960","1,523,237","3,075,746",5.00%,"4,802","17,577","49,226",7.40%,31.8122623,119.9691539
"Chengdu, Sichuan",China,East Asia and the Pacific,30.667,104.051,5/1/1988,5/1/2000,3/1/2009,"2,019,420","5,117,629","9,339,734",6.80%,"10,241","36,391","114,992",13.00%,30.6598628,104.0633717
"Chengguan, Guizhou",China,East Asia and the Pacific,26.68,105.769,8/1/1990,11/1/2000,6/1/2013,"52,551","95,957","117,083",1.60%,174,283,673,6.90%,27.462628,106.214765
Cheonan,Korea Rep.,East Asia and the Pacific,36.826,127.144,2/1/1991,8/1/2000,9/1/2014,"111,318","210,488","552,995",6.90%,916,"2,900","9,037",8.10%,36.8150283,127.1140654
Chicago,United States,Land-Rich Developed Countries,41.86,-87.864,6/1/1989,9/1/2001,9/1/2014,"7,325,015","8,509,731","8,913,778",0.40%,"340,562","452,051","510,972",0.90%,41.8755616,-87.6244212
Cirebon,Indonesia,Southeast Asia,-6.702,108.497,10/1/1989,10/1/2000,6/1/2014,"98,401","328,368","1,044,889",8.50%,285,"1,154","6,404",12.50%,-6.7137044,108.5608483
Cleveland,United States,Land-Rich Developed Countries,41.47,-81.636,4/1/1990,3/1/2000,6/1/2013,"1,376,230","1,622,727","1,865,023",1.10%,"43,934","72,699","116,854",3.60%,41.4996574,-81.6936772
Cochabamba,Bolivia,Latin America and the Caribbean,-17.391,-66.17,7/1/1990,6/1/2000,7/1/2013,"485,412","723,799","1,034,944",2.70%,"5,546","11,323","16,736",3.00%,-17.401245799999998,-66.16756808852
Coimbatore,India,South and Central Asia,11.015,76.973,1/1/1992,10/1/2000,2/1/2014,"528,106","959,042","1,650,080",4.10%,"3,630","7,310","12,191",3.80%,11.0018115,76.9628425
Cordoba,Argentina,Latin America and the Caribbean,-31.381,-64.216,12/1/1991,11/1/2001,7/1/2014,"1,128,755","1,233,898","1,392,944",1.00%,"15,909","19,222","24,542",1.90%,37.8845813,-4.7760138
Culiacan,Mexico,Latin America and the Caribbean,24.798,-107.402,1/1/1990,1/1/2000,3/1/2014,"375,046","483,533","625,346",1.80%,"5,742","7,896","11,563",2.70%,24.7978965,-107.393395
Curitiba,Brazil,Latin America and the Caribbean,-25.463,-49.254,9/1/1990,7/1/2000,1/1/2014,"1,375,084","2,106,460","2,728,388",1.90%,"14,909","31,150","44,527",2.60%,-25.4295963,-49.2712724
Dhaka,Bangladesh,South and Central Asia,23.766,90.418,11/1/1989,10/1/1999,3/1/2014,"4,005,507","6,690,664","13,609,023",4.90%,"7,473","12,478","24,676",4.70%,23.7644025,90.389015
Dzerzhinsk,Russia,Europe and Japan,56.241,43.455,8/1/1989,4/1/2000,7/1/2010,"225,340","201,809","183,841",-0.90%,"3,278","4,448","5,047",1.20%,56.2382157,43.4617405
Florianopolis,Brazil,Latin America and the Caribbean,-27.595,-48.613,5/1/1990,5/1/2000,1/1/2014,"284,463","375,071","532,951",2.60%,"4,394","6,719","10,210",3.10%,-27.5973002,-48.5496098
Fukuoka,Japan,Europe and Japan,33.598,130.437,5/1/1993,5/1/2001,4/1/2014,"1,953,223","2,110,744","2,306,030",0.70%,"23,549","30,518","34,507",1.00%,33.6251241,130.6180016
"Gainesville, FL",United States,Land-Rich Developed Countries,29.661,-82.377,7/1/1990,10/1/2000,10/1/2013,"112,979","137,912","175,756",1.90%,"4,516","6,091","7,663",1.80%,29.6519684,-82.3249846
"Gaoyou, Jiangsu",China,East Asia and the Pacific,32.792,119.43,10/1/1990,1/1/2000,4/1/2016,"86,595","70,291","186,351",6.00%,695,"1,128","5,336",9.60%,32.7875425,119.4326277
Gombe,Nigeria,Sub-Saharan Africa,10.29,11.167,12/1/1990,4/1/2000,5/1/2013,"158,339","222,582","416,874",4.80%,950,"1,327","3,699",7.80%,10.430401849999999,11.206540782332173
Gomel,Belarus,Europe and Japan,52.432,30.972,5/1/1990,9/1/2000,5/1/2013,"434,467","501,664","508,557",0.10%,"5,152","8,738","9,573",0.70%,52.4238936,31.0131698
Gorgan,Iran,South and Central Asia,36.843,54.436,6/1/1991,10/1/2000,9/1/2014,"142,123","227,778","375,741",3.60%,"1,777","2,523","3,235",1.80%,46.0930219,24.0081658
Guadalajara,Mexico,Latin America and the Caribbean,20.66,-103.357,3/1/1990,11/1/1999,4/1/2014,"2,802,064","3,360,859","4,375,721",1.80%,"26,758","35,080","51,625",2.70%,20.6720375,-103.338396
"Guangzhou, Guangdong",China,East Asia and the Pacific,22.936,113.608,2/1/1991,9/1/2000,10/1/2014,"2,405,072","12,039,122","24,657,221",5.10%,"8,183","120,182","323,148",7.00%,23.1301964,113.2592945
Guatemala City,Guatemala,Latin America and the Caribbean,14.605,-90.542,1/1/1990,1/1/2001,11/1/2013,"1,128,878","1,946,428","2,654,085",2.40%,"13,307","19,229","26,506",2.50%,14.6424667,-90.5131361
"Guixi, Chongqing",China,East Asia and the Pacific,30.332,107.348,6/1/1988,7/1/2001,6/1/2016,"17,185","104,711","198,120",4.30%,140,381,"1,862",10.60%,30.3273697,107.354915
Gwangju,Korea Rep.,East Asia and the Pacific,35.146,126.919,10/1/1989,3/1/2000,5/1/2015,"723,576","1,054,149","1,368,716",1.70%,"3,639","8,151","16,033",4.50%,35.1594647,126.8515034
"Haikou, Hainan",China,East Asia and the Pacific,20.028,110.329,10/1/1991,7/1/2001,12/1/2013,"501,814","756,043","1,247,662",4.00%,"2,379","3,868","8,867",6.70%,20.0462328,110.1956502
Halle,Germany,Europe and Japan,51.487,11.97,8/1/1990,9/1/1999,7/1/2010,"283,271","258,612","235,706",-0.90%,"3,587","5,894","6,721",1.20%,51.4825041,11.9705452
"Hangzhou, Zhejiang",China,East Asia and the Pacific,30.305,120.168,10/1/1990,5/1/2000,4/1/2013,"68,585","3,603,845","10,446,329",8.20%,"4,627","43,702","196,261",11.60%,30.2489634,120.2052342
Hindupur,India,South and Central Asia,13.838,77.488,2/1/1989,3/1/2000,3/1/2014,"56,003","70,224","106,830",3.00%,57,125,445,9.10%,13.8306127,77.492635
Ho Chi Minh City,Vietnam,Southeast Asia,10.83,106.713,1/1/1989,12/1/1999,1/1/2015,"2,563,621","3,950,264","10,187,671",6.30%,"5,453","15,057","63,478",9.50%,10.7763897,106.7011391
